NAME,DATE,PRCP,SNOW,State,Year,Value,STATION,LATITUDE,LONGITUDE,ELEVATION,AWND,FMTM,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08,WT13,WT16,WT21,WT22,Flood,High Wind,Heat,Strong Wind,Frost/Freeze,Heavy Rain,Drought
"SANTA ROSA SONOMA CO AIRPORT, CA US",22/02/2007,0.76,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,6.49,1352.0,1352.0,53.0,37.0,230.0,240.0,21.9,25.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",23/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.13,1454.0,1453.0,54.0,29.0,320.0,320.0,14.1,17.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",24/02/2007,0.59,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,6.04,1812.0,1939.0,52.0,41.0,160.0,170.0,21.0,25.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",25/02/2007,0.3,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,8.28,1434.0,1437.0,54.0,43.0,230.0,220.0,21.9,25.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",26/02/2007,0.35,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,6.04,2358.0,2357.0,50.0,37.0,220.0,230.0,17.0,23.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",27/02/2007,0.7,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.36,1512.0,1335.0,45.0,32.0,230.0,170.0,17.9,25.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",28/02/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.58,1456.0,1500.0,54.0,33.0,310.0,310.0,19.9,23.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",01/03/2007,0.01,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.01,1629.0,1719.0,53.0,32.0,230.0,320.0,12.1,14.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",02/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.47,1836.0,2055.0,66.0,33.0,290.0,310.0,14.1,17.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",03/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,5.59,1715.0,1719.0,67.0,41.0,160.0,170.0,13.0,15.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
